Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Liberia,LBR,GDP (constant LCU),NY.GDP.MKTP.KN,3428690700,3452739300,3452098300,3398419600,3481856100,3522161200,3435259000,3332802700,3499000000,..
Libya,LBY,GDP (constant LCU),NY.GDP.MKTP.KN,95823400000,73743000000,73121600000,72031400000,95435700000,103014600000,91481400000,69590100000,91422200000,..
Liechtenstein,LIE,GDP (constant LCU),NY.GDP.MKTP.KN,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,GDP (constant LCU),NY.GDP.MKTP.KN,35354128000,36604607000,37345698000,38286372000,39926023000,41520393000,43440754000,43431300000,46028940000,..
Luxembourg,LUX,GDP (constant LCU),NY.GDP.MKTP.KN,51587481000,52940665000,54142304000,56837611000,57586269000,58288431000,59640679000,59165083000,62183955000,..
"Macao SAR, China",MAC,GDP (constant LCU),NY.GDP.MKTP.KN,509915000000,499470000000,392012000000,389350000000,428220000000,455903000000,444451000000,203399000000,242588000000,..
Madagascar,MDG,GDP (constant LCU),NY.GDP.MKTP.KN,17629639326200,18218328791400,18788981153000,19539252614400,20307791521400,20956494782900,21880934414100,20319145167900,21213663023300,..
Malawi,MWI,GDP (constant LCU),NY.GDP.MKTP.KN,5639450256400,5960898921300,6127804091100,6280021234200,6531224000000,6818055000000,7189515000000,7247031000000,7446427000000,..
Malaysia,MYS,GDP (constant LCU),NY.GDP.MKTP.KN,1056461394000,1119920092400,1176941187000,1229312497000,1300769020000,1363766395000,1423952000000,1345144000000,1386738000000,..
Maldives,MDV,GDP (constant LCU),NY.GDP.MKTP.KN,52983270800,56866746500,58507095400,62215451000,66701129100,72119347800,77237994000,51368830400,72812800300,..
Mali,MLI,GDP (constant LCU),NY.GDP.MKTP.KN,3898327347500,4174511516700,4432154019500,4691536933700,4940444365400,5174941782900,5421070335800,5354095698100,5517535549900,..
Malta,MLT,GDP (constant LCU),NY.GDP.MKTP.KN,8473600000,9120400000,9996700000,10334700000,11463800000,12171000000,12891200000,11818100000,13035100000,..
Marshall Islands,MHL,GDP (constant LCU),NY.GDP.MKTP.KN,181243700,179213900,182997300,186686700,193053500,201150200,222953300,218847400,221287100,..
Mauritania,MRT,GDP (constant LCU),NY.GDP.MKTP.KN,191390974100,199572600000,210302300000,212954021100,226307400300,237107182400,249665890000,247322735300,253370687000,..
Mauritius,MUS,GDP (constant LCU),NY.GDP.MKTP.KN,413682154400,429513645600,445365091100,462567176400,480782996900,500046724300,514505400100,439400996900,455674701100,..
Mexico,MEX,GDP (constant LCU),NY.GDP.MKTP.KN,16277187078000,16741050002000,17292358146000,17747239234000,18122261317000,18520043997000,18483180262000,17006760025000,17809575237000,..
